event,x,y,z,station,track
0,80.14192,15.115910000000001,191.1999,0,-1
0,-63.896269999999994,50.68022,-227.8844,0,-1
0,-63.896269999999994,50.68022,197.887,0,-1
0,-66.23155,47.58781,-232.4319,0,-1
0,-66.23155,47.58781,-31.97434,0,-1
0,-66.23155,47.58781,193.3396,0,-1
0,-37.11499,-72.62021,-196.7007,0,-1
0,-37.11499,-72.62021,123.1947,0,-1
0,-37.11499,-72.62021,119.8324,0,-1
0,-37.11499,-72.62021,261.5278,0,-1
0,80.5548,-12.73354,-57.33439,0,-1
0,80.5548,-12.73354,-151.9158,0,-1
0,80.5548,-12.73354,-60.69665,0,-1
0,80.85421,-10.668389999999999,-59.78301,0,-1
0,80.85421,-10.668389999999999,-154.3644,0,-1
0,80.85421,-10.668389999999999,78.55013000000001,0,-1
0,124.2081,21.49932,244.4224,1,-1
0,-99.29271,77.65836,-270.6858,1,-1
0,-99.29271,77.65836,18.92373,1,-1
0,-99.29271,77.65836,104.4032,1,-1
0,-99.29271,77.65836,252.3975,1,-1
0,-103.1528,72.45255,-282.1691,1,-1
0,-103.1528,72.45255,-53.7986,1,-1
0,-103.1528,72.45255,7.44043,1,-1
0,-103.1528,72.45255,240.9142,1,-1
0,-60.25316,-110.7223,-217.0747,1,-1
0,-60.25316,-110.7223,271.5617,1,-1
0,-60.25316,-110.7223,332.8007,1,-1
0,124.7824,-17.86666,-158.7888,1,-1
0,124.7824,-17.86666,-12.0703,1,-1
0,124.7824,-17.86666,135.924,1,-1
0,125.4783,-12.04443,-169.1785,1,-1
0,125.4783,-12.04443,-107.9394,1,-1
0,125.4783,-12.04443,-22.45996,1,-1
0,164.5741,25.61129,299.1335,2,-1
0,-131.9442,101.643,-330.0059,2,-1
0,-131.9442,101.643,6.457771,2,-1
0,-131.9442,101.643,136.5651,2,-1
0,-131.9442,101.643,332.1769,2,-1
0,-137.2944,94.29113000000001,-344.7434,2,-1
0,-137.2944,94.29113000000001,-70.61024,2,-1
0,-137.2944,94.29113000000001,-8.279743,2,-1
0,-137.2944,94.29113000000001,317.4393,2,-1
0,-82.57415,-144.6447,-263.2965,2,-1
0,-82.57415,-144.6447,330.9613,2,-1
0,-82.57415,-144.6447,393.2918,2,-1
0,164.6861,-24.88063,-192.5759,2,-1
0,164.6861,-24.88063,-0.13802029999999998,2,-1
0,164.6861,-24.88063,195.4737,2,-1
0,166.4261,-6.551735,-222.4289,2,-1
0,166.4261,-6.551735,-160.0984,2,-1
0,166.4261,-6.551735,-29.991,2,-1
0,80.5548,-12.73354,80.99875,0,7
0,125.4783,-12.04443,125.5344,1,7
0,166.4261,-6.551735,165.6207,2,7
0,-37.11499,-72.62021,28.61325,0,8
0,-60.25316,-110.7223,43.191140000000004,1,8
0,-82.57415,-144.6447,56.828140000000005,2,8
0,-63.896269999999994,50.68022,-27.4269,0,9
0,-99.29271,77.65836,-42.3153,1,9
0,-131.9442,101.643,-55.872730000000004,2,9
0,80.85421,-10.668389999999999,-63.14527,0,10
0,124.7824,-17.86666,-97.54978,1,10
0,164.6861,-24.88063,-130.2454,2,10
0,80.14192,15.115910000000001,-9.257641,0,12
0,124.2081,21.49932,-15.8435,1,12
0,164.5741,25.61129,-20.991120000000002,2,12
1,64.34658,50.107240000000004,140.9223,0,-1
1,-4.849757,81.41067,-12.77655,0,-1
1,97.18179,80.28426,279.6795,1,-1
1,-6.619861,125.8811,-88.13705,1,-1
1,126.1275,108.7769,336.3059,2,-1
1,-8.049104,166.3604,-87.16118,2,-1
1,-4.849757,81.41067,48.22452,0,12
1,-6.619861,125.8811,71.33959,1,12
1,-8.049104,166.3604,91.35821,2,12
1,64.34658,50.107240000000004,79.92121,0,13
1,97.18179,80.28426,120.2029,1,13
1,126.1275,108.7769,157.7865,2,13
2,16.49697,79.86907,128.6475,0,-1
2,-59.414730000000006,55.86688,-149.0688,0,-1
2,81.478,-3.543194,17.79961,0,-1
2,29.820109999999996,122.477,304.1811,1,-1
2,-96.175,81.48763000000001,-318.0724,1,-1
2,-96.175,81.48763000000001,179.4947,1,-1
2,-96.175,81.48763000000001,219.6828,1,-1
2,125.9174,-5.8878449999999996,-89.53220999999999,1,-1
2,125.9174,-5.8878449999999996,32.94585,1,-1
2,126.036,-2.1861740000000003,-96.0941,1,-1
2,126.036,-2.1861740000000003,66.57207,1,-1
2,166.5445,1.867847,259.1084,2,-1
2,44.701029999999996,160.4443,-314.263,2,-1
2,44.701029999999996,160.4443,401.5127,2,-1
2,-132.1871,101.3269,-409.3217,2,-1
2,-132.1871,101.3269,265.7263,2,-1
2,166.2957,-9.290431,-80.75974000000001,2,-1
2,-59.414730000000006,55.86688,31.05252,0,15
2,-96.175,81.48763000000001,57.016619999999996,1,15
2,-132.1871,101.3269,80.70673000000001,2,15
2,16.49697,79.86907,-51.47375,0,21
2,29.820109999999996,122.477,-70.90798000000001,1,21
2,44.701029999999996,160.4443,-88.51568,2,21
2,81.478,-3.543194,38.453509999999994,0,22
2,125.9174,-5.8878449999999996,73.13396,1,22
2,166.2957,-9.290431,104.2598,2,22
3,7.096023,-81.2457,105.6683,0,-1
3,7.096023,-81.2457,163.2304,0,-1
3,25.17033,-77.57366,-19.289,0,-1
3,25.17033,-77.57366,83.98053,0,-1
3,55.733959999999996,-59.53943,-61.26535,0,-1
3,55.733959999999996,-59.53943,99.56631,0,-1
3,12.77378,-125.4061,209.6732,1,-1
3,12.77378,-125.4061,261.3437,1,-1
3,37.52673,-120.3395,-45.03758,1,-1
3,37.52673,-120.3395,164.8337,1,-1
3,87.96738,-90.28622,-150.0278,1,-1
3,87.96738,-90.28622,111.5139,1,-1
3,19.609,-165.3967,257.7312,2,-1
3,19.609,-165.3967,330.9544,2,-1
3,47.520540000000004,-159.632,-49.93909,2,-1
3,47.520540000000004,-159.632,211.4859,2,-1
3,118.3292,-117.2125,-185.1177,2,-1
3,118.3292,-117.2125,149.5306,2,-1
3,7.096023,-81.2457,2.398774,0,7
3,12.77378,-125.4061,-0.19801229999999997,1,7
3,19.609,-165.3967,-3.6937849999999997,2,7
3,25.17033,-77.57366,141.5427,0,12
3,37.52673,-120.3395,216.5041,1,12
3,47.520540000000004,-159.632,284.7091,2,12
3,55.733959999999996,-59.53943,42.00418,0,13
3,87.96738,-90.28622,59.843469999999996,1,13
3,118.3292,-117.2125,76.30735,2,13
4,-4.25446,81.44395,100.3187,0,-1
4,-4.25446,81.44395,161.3198,0,-1
4,-51.339220000000005,63.36799,73.77526999999999,0,-1
4,-51.339220000000005,63.36799,101.1537,0,-1
4,-78.21573000000001,-23.09799,-72.48389,0,-1
4,-78.21573000000001,-23.09799,-38.86125,0,-1
4,-12.46669,125.437,-335.8279,1,-1
4,-12.46669,125.437,173.2215,1,-1
4,-72.04148,103.4403,90.73952,1,-1
4,-23.650879999999997,164.8672,184.3372,2,-1
4,-86.28015,142.4651,161.3587,2,-1
4,-51.339220000000005,63.36799,40.152640000000005,0,9
4,-72.04148,103.4403,59.4821,1,9
4,-86.28015,142.4651,75.81155,2,9
4,-78.21573000000001,-23.09799,-11.48282,0,16
4,-121.9902,-31.753,-19.76367,1,16
4,-162.3223,-37.309940000000005,-26.38389,2,16
4,-4.25446,81.44395,133.9414,0,18
4,-12.46669,125.437,204.4789,1,18
4,-23.650879999999997,164.8672,269.8844,2,18
5,78.50931,22.07953,174.6391,0,-1
5,-66.23155,47.58781,-224.584,0,-1
5,-66.23155,47.58781,125.0914,0,-1
5,-75.10231,-31.794040000000003,-138.0846,0,-1
5,79.40953,-18.58344,-213.168,0,-1
5,121.2609,34.433279999999996,62.708119999999994,1,-1
5,-99.67181,77.1712,324.0252,1,-1
5,-116.3869,-48.41434,-46.467290000000006,1,-1
5,123.9308,-23.04362,-173.7333,1,-1
5,160.2169,45.509609999999995,76.68902,2,-1
5,-153.5848,-64.43817,-63.551930000000006,2,-1
5,164.913,-23.32926,-240.5031,2,-1
5,79.40953,-18.58344,142.7517,0,7
5,123.9308,-23.04362,217.9414,1,7
5,164.913,-23.32926,285.9778,2,7
5,-66.23155,47.58781,-40.13984,0,8
5,-99.67181,77.1712,-67.64939,1,8
5,-128.4245,106.0553,-92.1116,2,8
5,-75.10231,-31.794040000000003,27.1466,0,9
5,-116.3869,-48.41434,36.46056,1,9
5,-153.5848,-64.43817,44.16485,2,9
5,78.50931,22.07953,-9.805063,0,10
5,121.2609,34.433279999999996,-20.219739999999998,1,10
5,160.2169,45.509609999999995,-31.02777,2,10
6,81.44823000000001,4.171777,189.7329,0,-1
6,-50.172540000000005,64.29568,-80.58081,0,-1
6,-50.172540000000005,64.29568,166.3054,0,-1
6,-21.840329999999998,-78.57619,-230.3803,0,-1
6,-21.840329999999998,-78.57619,242.2579,0,-1
6,55.2972,-59.94529,-142.2207,0,-1
6,125.1489,15.0872,165.3229,1,-1
6,-77.74941,99.22143,-307.133,1,-1
6,-77.74941,99.22143,-281.6167,1,-1
6,-77.74941,99.22143,229.3464,1,-1
6,-34.89079,-121.1301,-70.54267,1,-1
6,-34.89079,-121.1301,174.4135,1,-1
6,82.74616999999999,-95.09435,-318.6163,1,-1
6,82.74616999999999,-95.09435,-293.1,1,-1
6,82.74616999999999,-95.09435,-48.14392,1,-1
6,164.1165,28.396109999999997,155.9803,2,-1
6,-103.8729,130.196,-403.537,2,-1
6,-103.8729,130.196,-310.3439,2,-1
